household_key,WEEK_NO_BINNED,SALES_VALUE,COUPON_DISC,COUPON_DISC_BOOL
8,"(60, 72]",629.9500000000005,-7.35,1.0
8,"(72, 84]",769.6900000000003,-3.0,1.0
8,"(84, 96]",,,
9,"(0, 12]",0.0,0.0,0.0
9,"(12, 24]",61.150000000000006,0.0,0.0
9,"(24, 36]",8.98,0.0,0.0
9,"(36, 48]",39.6,0.0,0.0
9,"(48, 60]",240.26,0.0,0.0
9,"(60, 72]",152.39999999999998,-1.1,1.0
9,"(72, 84]",22.97,0.0,0.0
9,"(84, 96]",,,
10,"(0, 12]",0.0,0.0,0.0
10,"(12, 24]",133.98000000000002,0.0,0.0
10,"(24, 36]",0.0,0.0,0.0
10,"(36, 48]",0.0,0.0,0.0
10,"(48, 60]",0.0,0.0,0.0
10,"(60, 72]",29.96,0.0,0.0
10,"(72, 84]",0.0,0.0,0.0
10,"(84, 96]",,,
11,"(0, 12]",0.0,0.0,0.0
11,"(12, 24]",18.05,0.0,0.0
11,"(24, 36]",5.29,0.0,0.0
11,"(36, 48]",0.0,0.0,0.0
11,"(48, 60]",10.05,0.0,0.0
11,"(60, 72]",0.0,0.0,0.0
11,"(72, 84]",0.0,0.0,0.0
11,"(84, 96]",,,
12,"(0, 12]",46.58,0.0,0.0
12,"(12, 24]",37.27,0.0,0.0
12,"(24, 36]",0.0,0.0,0.0
12,"(36, 48]",32.18,0.0,0.0
12,"(48, 60]",75.24,0.0,0.0
12,"(60, 72]",0.0,0.0,0.0
12,"(72, 84]",74.94,0.0,0.0
12,"(84, 96]",,,
13,"(0, 12]",0.0,0.0,0.0
13,"(12, 24]",1755.4700000000012,-52.78999999999999,1.0
13,"(24, 36]",1658.3400000000015,-32.879999999999995,1.0
13,"(36, 48]",1744.8100000000009,-44.41999999999999,1.0
13,"(48, 60]",1597.9400000000012,-29.8,1.0
13,"(60, 72]",1774.500000000001,-43.849999999999994,1.0
13,"(72, 84]",1607.3399999999997,-46.24999999999999,1.0
13,"(84, 96]",,,
14,"(0, 12]",244.78000000000014,-3.5,1.0
14,"(12, 24]",332.30999999999995,0.0,0.0
14,"(24, 36]",36.529999999999994,0.0,0.0
14,"(36, 48]",167.97,0.0,0.0
14,"(48, 60]",715.3899999999995,-7.390000000000001,1.0
14,"(60, 72]",467.43000000000006,-4.25,1.0
14,"(72, 84]",267.53,-1.19,1.0
14,"(84, 96]",,,
15,"(0, 12]",113.39999999999999,0.0,0.0
15,"(12, 24]",7.58,0.0,0.0
15,"(24, 36]",40.88,0.0,0.0
15,"(36, 48]",119.55999999999997,0.0,0.0
15,"(48, 60]",40.849999999999994,0.0,0.0
15,"(60, 72]",156.03,-2.5,1.0
15,"(72, 84]",187.16999999999996,0.0,0.0
15,"(84, 96]",,,
16,"(0, 12]",0.0,0.0,0.0
16,"(12, 24]",363.05999999999995,0.0,0.0
16,"(24, 36]",294.06999999999994,0.0,0.0
16,"(36, 48]",420.78000000000003,0.0,0.0
16,"(48, 60]",275.07,0.0,0.0
16,"(60, 72]",83.02,0.0,0.0
16,"(72, 84]",35.45,0.0,0.0
16,"(84, 96]",,,
17,"(0, 12]",808.0000000000003,-44.0,1.0
17,"(12, 24]",725.5500000000002,-28.0,1.0
17,"(24, 36]",733.5900000000001,-3.0,1.0
17,"(36, 48]",942.2500000000001,0.0,0.0
17,"(48, 60]",541.2600000000001,0.0,0.0
17,"(60, 72]",507.42999999999995,-1.5,1.0
17,"(72, 84]",323.98999999999995,0.0,0.0
17,"(84, 96]",,,
18,"(0, 12]",0.0,0.0,0.0
18,"(12, 24]",686.7300000000008,-2.0,1.0
18,"(24, 36]",698.6900000000005,-10.600000000000001,1.0
18,"(36, 48]",1025.9,-5.9,1.0
18,"(48, 60]",847.4300000000009,-8.6,1.0
18,"(60, 72]",1037.0600000000004,-4.55,1.0
18,"(72, 84]",944.0300000000003,-15.930000000000003,1.0
18,"(84, 96]",,,
19,"(0, 12]",169.16999999999996,0.0,0.0
19,"(12, 24]",870.0000000000002,0.0,0.0
19,"(24, 36]",1098.24,0.0,0.0
19,"(36, 48]",947.4300000000001,0.0,0.0
19,"(48, 60]",1261.68,-1.35,1.0
19,"(60, 72]",2053.5200000000027,-2.0,1.0
19,"(72, 84]",2413.9999999999986,-8.39,1.0
19,"(84, 96]",,,
20,"(0, 12]",9.65,0.0,0.0
20,"(12, 24]",68.79,-2.6,1.0
20,"(24, 36]",562.9200000000004,-4.0,1.0
20,"(36, 48]",1225.3300000000024,-7.75,1.0
20,"(48, 60]",1356.2300000000012,-2.9000000000000004,1.0
20,"(60, 72]",1295.5600000000009,0.0,0.0
20,"(72, 84]",1285.11,-0.75,1.0
20,"(84, 96]",,,
21,"(0, 12]",22.21,0.0,0.0
21,"(12, 24]",71.78,0.0,0.0
21,"(24, 36]",49.989999999999995,0.0,0.0
21,"(36, 48]",0.0,0.0,0.0
21,"(48, 60]",67.18,-1.0,1.0
21,"(60, 72]",182.1399999999999,0.0,0.0
21,"(72, 84]",257.21000000000004,0.0,0.0
21,"(84, 96]",,,
22,"(0, 12]",531.0800000000003,-5.35,1.0
22,"(12, 24]",597.9400000000002,-1.0,1.0
22,"(24, 36]",732.5000000000002,-5.8,1.0
22,"(36, 48]",621.8800000000001,-1.0,1.0
22,"(48, 60]",626.7800000000001,-6.8,1.0
22,"(60, 72]",864.7800000000002,-10.0,1.0
22,"(72, 84]",841.110000000001,-16.1,1.0
22,"(84, 96]",,,
23,"(0, 12]",0.0,0.0,0.0
23,"(12, 24]",559.0800000000003,0.0,0.0
23,"(24, 36]",546.0100000000003,0.0,0.0
23,"(36, 48]",733.5800000000005,0.0,0.0
23,"(48, 60]",354.43000000000023,0.0,0.0
23,"(60, 72]",227.74,0.0,0.0
23,"(72, 84]",218.47000000000006,0.0,0.0
23,"(84, 96]",,,
24,"(0, 12]",175.13000000000005,0.0,0.0
24,"(12, 24]",612.4800000000006,0.0,0.0
24,"(24, 36]",312.85999999999996,0.0,0.0
24,"(36, 48]",91.27000000000002,0.0,0.0
24,"(48, 60]",12.07,0.0,0.0
24,"(60, 72]",0.0,0.0,0.0
24,"(72, 84]",0.0,0.0,0.0
24,"(84, 96]",,,
25,"(0, 12]",246.87000000000006,0.0,0.0
25,"(12, 24]",288.35,-1.0,1.0
25,"(24, 36]",349.69999999999993,-20.0,1.0
25,"(36, 48]",259.5600000000001,0.0,0.0
25,"(48, 60]",476.59000000000015,0.0,0.0
25,"(60, 72]",377.52000000000015,-8.879999999999999,1.0
25,"(72, 84]",740.6100000000005,-10.0,1.0
25,"(84, 96]",,,
26,"(0, 12]",67.13,0.0,0.0
26,"(12, 24]",409.02000000000027,0.0,0.0
26,"(24, 36]",193.48999999999998,0.0,0.0
26,"(36, 48]",255.90000000000015,0.0,0.0
26,"(48, 60]",87.58,0.0,0.0
26,"(60, 72]",450.14,0.0,0.0
26,"(72, 84]",52.44000000000001,0.0,0.0
26,"(84, 96]",,,
27,"(0, 12]",117.23000000000002,0.0,0.0
27,"(12, 24]",151.1,-0.55,1.0
27,"(24, 36]",94.59,0.0,0.0
27,"(36, 48]",955.5000000000018,-1.5,1.0
27,"(48, 60]",1168.8200000000008,-10.75,1.0
27,"(60, 72]",932.1000000000021,-3.5,1.0
27,"(72, 84]",921.9700000000023,0.0,0.0
27,"(84, 96]",,,
28,"(0, 12]",0.0,0.0,0.0
28,"(12, 24]",194.27,0.0,0.0
28,"(24, 36]",389.8700000000001,0.0,0.0
28,"(36, 48]",243.54,0.0,0.0
28,"(48, 60]",346.87999999999994,0.0,0.0
28,"(60, 72]",282.65000000000003,0.0,0.0
28,"(72, 84]",239.58000000000004,0.0,0.0
28,"(84, 96]",,,
29,"(0, 12]",99.00999999999998,0.0,0.0
29,"(12, 24]",231.7,0.0,0.0
29,"(24, 36]",348.36000000000024,0.0,0.0
29,"(36, 48]",343.71000000000026,-2.99,1.0
29,"(48, 60]",104.13999999999997,0.0,0.0
29,"(60, 72]",57.440000000000005,-0.4,1.0
29,"(72, 84]",32.46,0.0,0.0
29,"(84, 96]",,,
30,"(0, 12]",221.93000000000006,-3.0,1.0
30,"(12, 24]",27.189999999999998,0.0,0.0
30,"(24, 36]",34.0,0.0,0.0
30,"(36, 48]",54.0,0.0,0.0
30,"(48, 60]",21.99,0.0,0.0
30,"(60, 72]",62.7,0.0,0.0
30,"(72, 84]",42.620000000000005,0.0,0.0
30,"(84, 96]",,,
31,"(0, 12]",0.0,0.0,0.0
31,"(12, 24]",263.69,-29.14,1.0
31,"(24, 36]",198.74000000000004,-12.64,1.0
31,"(36, 48]",162.71,-5.35,1.0
31,"(48, 60]",396.5600000000002,-20.950000000000003,1.0
31,"(60, 72]",549.8400000000001,-30.400000000000002,1.0
31,"(72, 84]",979.9300000000009,-85.96,1.0
31,"(84, 96]",,,
32,"(0, 12]",241.95000000000002,0.0,0.0
32,"(12, 24]",620.2600000000004,0.0,0.0
32,"(24, 36]",553.0900000000003,-0.55,1.0
32,"(36, 48]",156.55999999999997,0.0,0.0
32,"(48, 60]",255.99999999999997,-2.0,1.0
32,"(60, 72]",526.7800000000003,0.0,0.0
32,"(72, 84]",467.05,-1.0,1.0
32,"(84, 96]",,,
33,"(0, 12]",0.0,0.0,0.0
33,"(12, 24]",215.28000000000011,0.0,0.0
33,"(24, 36]",144.51,0.0,0.0
33,"(36, 48]",238.44,0.0,0.0
33,"(48, 60]",158.28,0.0,0.0
33,"(60, 72]",179.75,0.0,0.0
33,"(72, 84]",39.93,0.0,0.0
33,"(84, 96]",,,
34,"(0, 12]",15.21,0.0,0.0
34,"(12, 24]",42.09000000000001,0.0,0.0
34,"(24, 36]",45.420000000000016,0.0,0.0
34,"(36, 48]",11.97,0.0,0.0
34,"(48, 60]",38.769999999999996,-1.0,1.0
34,"(60, 72]",4.470000000000001,0.0,0.0
34,"(72, 84]",81.65,0.0,0.0
34,"(84, 96]",,,
35,"(0, 12]",106.55,-1.0,1.0
35,"(12, 24]",55.35000000000001,0.0,0.0
35,"(24, 36]",200.0,0.0,0.0
35,"(36, 48]",66.74000000000001,0.0,0.0
35,"(48, 60]",57.440000000000005,0.0,0.0
35,"(60, 72]",240.67000000000007,0.0,0.0
35,"(72, 84]",203.17999999999998,0.0,0.0
35,"(84, 96]",,,
36,"(0, 12]",0.0,0.0,0.0
36,"(12, 24]",601.7200000000003,0.0,0.0
36,"(24, 36]",682.6500000000004,0.0,0.0
36,"(36, 48]",104.42999999999999,0.0,0.0
36,"(48, 60]",263.0300000000001,0.0,0.0
36,"(60, 72]",950.7200000000004,0.0,0.0
36,"(72, 84]",912.7899999999997,-1.35,1.0
36,"(84, 96]",,,
37,"(0, 12]",0.0,0.0,0.0
37,"(12, 24]",154.78,0.0,0.0
37,"(24, 36]",277.33,0.0,0.0
37,"(36, 48]",510.51,0.0,0.0
37,"(48, 60]",693.05,0.0,0.0
37,"(60, 72]",245.76999999999998,-2.5,1.0
37,"(72, 84]",187.54999999999998,0.0,0.0
37,"(84, 96]",,,
38,"(0, 12]",0.0,0.0,0.0
38,"(12, 24]",249.04999999999998,-2.5,1.0
38,"(24, 36]",188.78000000000003,0.0,0.0
38,"(36, 48]",27.75,0.0,0.0
38,"(48, 60]",100.95,0.0,0.0
38,"(60, 72]",30.669999999999998,0.0,0.0
38,"(72, 84]",108.92999999999999,0.0,0.0
38,"(84, 96]",,,
39,"(0, 12]",716.8400000000004,0.0,0.0
39,"(12, 24]",1036.1100000000015,-2.25,1.0
39,"(24, 36]",532.5300000000001,-0.5,1.0
39,"(36, 48]",589.9500000000005,-0.6,1.0
39,"(48, 60]",449.42000000000036,-5.89,1.0
39,"(60, 72]",343.32000000000005,-2.0,1.0
39,"(72, 84]",506.8900000000002,-4.55,1.0
39,"(84, 96]",,,
40,"(0, 12]",50.71000000000001,0.0,0.0
40,"(12, 24]",1355.1300000000015,-4.0,1.0
40,"(24, 36]",1623.390000000002,-3.0,1.0
40,"(36, 48]",1539.2700000000018,0.0,0.0
40,"(48, 60]",1972.1000000000022,-1.0,1.0
40,"(60, 72]",1285.4600000000012,0.0,0.0
40,"(72, 84]",1966.8600000000013,-7.25,1.0
40,"(84, 96]",,,
41,"(0, 12]",56.92000000000001,0.0,0.0
41,"(12, 24]",238.97000000000006,0.0,0.0
41,"(24, 36]",174.0100000000001,0.0,0.0
41,"(36, 48]",313.45,0.0,0.0
41,"(48, 60]",351.63999999999993,0.0,0.0
41,"(60, 72]",625.04,0.0,0.0
41,"(72, 84]",546.2800000000001,0.0,0.0
41,"(84, 96]",,,
42,"(0, 12]",0.0,0.0,0.0
42,"(12, 24]",248.37,-1.1,1.0
42,"(24, 36]",324.4699999999999,-5.65,1.0
42,"(36, 48]",276.34000000000003,-2.0,1.0
42,"(48, 60]",245.93999999999997,-2.0,1.0
42,"(60, 72]",313.25,-2.5,1.0
42,"(72, 84]",185.95999999999995,0.0,0.0
42,"(84, 96]",,,
43,"(0, 12]",0.0,0.0,0.0
43,"(12, 24]",34.92000000000001,0.0,0.0
43,"(24, 36]",58.360000000000014,0.0,0.0
43,"(36, 48]",415.94999999999976,-3.35,1.0
43,"(48, 60]",205.61000000000004,-2.75,1.0
43,"(60, 72]",91.41000000000001,0.0,0.0
43,"(72, 84]",32.44,0.0,0.0
43,"(84, 96]",,,
44,"(0, 12]",17.439999999999998,0.0,0.0
44,"(12, 24]",47.080000000000005,0.0,0.0
44,"(24, 36]",68.92999999999999,0.0,0.0
44,"(36, 48]",291.2800000000001,0.0,0.0
44,"(48, 60]",53.38,0.0,0.0
44,"(60, 72]",195.95000000000005,0.0,0.0
44,"(72, 84]",145.52,0.0,0.0
44,"(84, 96]",,,
45,"(0, 12]",0.0,0.0,0.0
45,"(12, 24]",205.52000000000004,0.0,0.0
45,"(24, 36]",228.09000000000006,0.0,0.0
45,"(36, 48]",144.94,0.0,0.0
45,"(48, 60]",188.66000000000008,-2.0,1.0
45,"(60, 72]",24.22,0.0,0.0
45,"(72, 84]",9.16,0.0,0.0
45,"(84, 96]",,,
46,"(0, 12]",324.5000000000001,-0.75,1.0
46,"(12, 24]",32.400000000000006,0.0,0.0
46,"(24, 36]",645.9400000000003,-1.25,1.0
46,"(36, 48]",1235.1100000000006,0.0,0.0
46,"(48, 60]",919.9300000000011,-2.98,1.0
46,"(60, 72]",1553.4800000000014,-4.5,1.0
46,"(72, 84]",1242.8700000000003,-3.5,1.0
46,"(84, 96]",,,
47,"(0, 12]",0.0,0.0,0.0
47,"(12, 24]",289.8400000000002,0.0,0.0
47,"(24, 36]",286.6,0.0,0.0
47,"(36, 48]",289.46999999999997,0.0,0.0
47,"(48, 60]",337.15999999999997,0.0,0.0
47,"(60, 72]",495.9600000000003,0.0,0.0
47,"(72, 84]",278.72999999999996,0.0,0.0
47,"(84, 96]",,,
48,"(0, 12]",0.0,0.0,0.0
48,"(12, 24]",217.69000000000003,0.0,0.0
48,"(24, 36]",20.81,0.0,0.0
48,"(36, 48]",26.06,0.0,0.0
48,"(48, 60]",10.18,0.0,0.0
48,"(60, 72]",466.52000000000004,-3.0,1.0
48,"(72, 84]",182.74000000000004,-2.5,1.0
48,"(84, 96]",,,
49,"(0, 12]",85.26999999999997,0.0,0.0
49,"(12, 24]",413.45,0.0,0.0
49,"(24, 36]",310.91,0.0,0.0
49,"(36, 48]",1028.910000000001,-1.75,1.0
49,"(48, 60]",983.3600000000005,-0.5,1.0
49,"(60, 72]",1272.4200000000008,-8.59,1.0
49,"(72, 84]",890.9100000000004,-2.5,1.0
49,"(84, 96]",,,
50,"(0, 12]",0.0,0.0,0.0
50,"(12, 24]",116.05999999999997,0.0,0.0
50,"(24, 36]",19.130000000000003,0.0,0.0
50,"(36, 48]",0.0,0.0,0.0
50,"(48, 60]",19.57,0.0,0.0
50,"(60, 72]",13.34,0.0,0.0
50,"(72, 84]",76.3,0.0,0.0
50,"(84, 96]",,,
51,"(0, 12]",287.89,-0.55,1.0
51,"(12, 24]",176.80999999999997,0.0,0.0
51,"(24, 36]",245.00000000000003,0.0,0.0
51,"(36, 48]",497.4799999999998,0.0,0.0
51,"(48, 60]",456.12,0.0,0.0
51,"(60, 72]",430.66000000000014,0.0,0.0
51,"(72, 84]",449.43000000000006,0.0,0.0
51,"(84, 96]",,,
52,"(0, 12]",134.99999999999997,-1.0,1.0
52,"(12, 24]",711.5800000000006,0.0,0.0
52,"(24, 36]",426.3800000000001,0.0,0.0
52,"(36, 48]",644.3100000000005,0.0,0.0
52,"(48, 60]",741.9200000000006,0.0,0.0
52,"(60, 72]",874.0900000000012,0.0,0.0
52,"(72, 84]",712.4,0.0,0.0
52,"(84, 96]",,,
53,"(0, 12]",9.67,0.0,0.0
53,"(12, 24]",227.89000000000004,0.0,0.0
53,"(24, 36]",159.73000000000002,0.0,0.0
53,"(36, 48]",275.38,-1.5,1.0
53,"(48, 60]",228.72000000000003,0.0,0.0
53,"(60, 72]",357.83,0.0,0.0
53,"(72, 84]",238.04000000000005,0.0,0.0
53,"(84, 96]",,,
54,"(0, 12]",9.97,0.0,0.0
54,"(12, 24]",12.129999999999999,0.0,0.0
54,"(24, 36]",2.65,0.0,0.0
54,"(36, 48]",31.97,0.0,0.0
54,"(48, 60]",5.34,0.0,0.0
54,"(60, 72]",41.03,0.0,0.0
54,"(72, 84]",0.0,0.0,0.0
54,"(84, 96]",,,
55,"(0, 12]",37.790000000000006,0.0,0.0
55,"(12, 24]",97.49000000000001,0.0,0.0
55,"(24, 36]",297.06000000000006,0.0,0.0
55,"(36, 48]",126.19000000000001,0.0,0.0
55,"(48, 60]",89.33000000000001,0.0,0.0
55,"(60, 72]",107.89999999999993,0.0,0.0
55,"(72, 84]",64.49000000000001,0.0,0.0
55,"(84, 96]",,,
56,"(0, 12]",0.0,0.0,0.0
56,"(12, 24]",292.7800000000001,0.0,0.0
56,"(24, 36]",883.8000000000009,-14.08,1.0
56,"(36, 48]",1163.0600000000013,-2.35,1.0
56,"(48, 60]",1129.2199999999998,0.0,0.0
56,"(60, 72]",1031.2400000000005,-5.0,1.0
56,"(72, 84]",643.4700000000001,-13.05,1.0
56,"(84, 96]",,,
57,"(0, 12]",158.62999999999997,0.0,0.0
57,"(12, 24]",380.1400000000001,-2.0,1.0
57,"(24, 36]",351.2200000000002,0.0,0.0
57,"(36, 48]",805.0200000000003,-3.84,1.0
57,"(48, 60]",168.24999999999997,0.0,0.0
57,"(60, 72]",145.01,0.0,0.0
57,"(72, 84]",426.72,0.0,0.0
57,"(84, 96]",,,
58,"(0, 12]",55.16000000000001,0.0,0.0
58,"(12, 24]",1523.7500000000014,-15.15,1.0
58,"(24, 36]",1461.0100000000004,-15.65,1.0
58,"(36, 48]",1167.1100000000008,-11.450000000000001,1.0
58,"(48, 60]",1075.0200000000007,-2.55,1.0
58,"(60, 72]",1722.3900000000017,0.0,0.0
58,"(72, 84]",1530.7800000000016,-0.4,1.0
58,"(84, 96]",,,
59,"(0, 12]",66.28999999999999,0.0,0.0
59,"(12, 24]",208.29999999999998,0.0,0.0
59,"(24, 36]",164.82999999999998,-1.1,1.0
59,"(36, 48]",151.85000000000005,-0.35,1.0
59,"(48, 60]",284.27,-7.599999999999999,1.0
59,"(60, 72]",414.70000000000005,-0.8,1.0
59,"(72, 84]",111.08,-1.5,1.0
59,"(84, 96]",,,
60,"(0, 12]",0.0,0.0,0.0
60,"(12, 24]",265.22,0.0,0.0
60,"(24, 36]",31.560000000000006,0.0,0.0
60,"(36, 48]",0.0,0.0,0.0
60,"(48, 60]",0.0,0.0,0.0
60,"(60, 72]",0.0,0.0,0.0
60,"(72, 84]",0.0,0.0,0.0
60,"(84, 96]",,,
61,"(0, 12]",20.0,0.0,0.0
61,"(12, 24]",60.769999999999996,0.0,0.0
61,"(24, 36]",57.9,0.0,0.0
61,"(36, 48]",0.0,0.0,0.0
61,"(48, 60]",20.919999999999998,0.0,0.0
61,"(60, 72]",7.96,0.0,0.0
61,"(72, 84]",0.0,0.0,0.0
61,"(84, 96]",,,
62,"(0, 12]",16.04,0.0,0.0
62,"(12, 24]",27.669999999999998,0.0,0.0
62,"(24, 36]",13.86,0.0,0.0
62,"(36, 48]",22.18,0.0,0.0
62,"(48, 60]",116.57000000000004,-0.3,1.0
62,"(60, 72]",82.13,-1.75,1.0
62,"(72, 84]",28.28,0.0,0.0
62,"(84, 96]",,,
63,"(0, 12]",0.0,0.0,0.0
63,"(12, 24]",146.58999999999997,0.0,0.0
63,"(24, 36]",105.83999999999999,0.0,0.0
63,"(36, 48]",50.18,0.0,0.0
63,"(48, 60]",52.57000000000001,0.0,0.0
63,"(60, 72]",27.009999999999998,0.0,0.0
63,"(72, 84]",84.51,0.0,0.0
63,"(84, 96]",,,
64,"(0, 12]",400.79,0.0,0.0
64,"(12, 24]",8.84,0.0,0.0
64,"(24, 36]",240.72,0.0,0.0
64,"(36, 48]",421.96000000000026,-0.55,1.0
64,"(48, 60]",501.54000000000025,-0.5,1.0
64,"(60, 72]",408.3900000000001,0.0,0.0
64,"(72, 84]",604.5300000000005,0.0,0.0
64,"(84, 96]",,,
65,"(0, 12]",125.32000000000004,0.0,0.0
65,"(12, 24]",233.74999999999997,0.0,0.0
65,"(24, 36]",169.89,0.0,0.0
65,"(36, 48]",318.65999999999997,0.0,0.0
65,"(48, 60]",196.36999999999998,0.0,0.0
65,"(60, 72]",318.32000000000016,0.0,0.0
65,"(72, 84]",355.69999999999993,-3.49,1.0
65,"(84, 96]",,,
66,"(0, 12]",0.0,0.0,0.0
66,"(12, 24]",165.12,0.0,0.0
66,"(24, 36]",54.339999999999996,0.0,0.0
66,"(36, 48]",72.75999999999999,0.0,0.0
66,"(48, 60]",17.029999999999998,0.0,0.0
66,"(60, 72]",26.869999999999994,0.0,0.0
66,"(72, 84]",0.67,0.0,0.0
66,"(84, 96]",,,
67,"(0, 12]",0.0,0.0,0.0
67,"(12, 24]",1239.0900000000013,-19.290000000000003,1.0
67,"(24, 36]",1170.880000000001,-26.970000000000006,1.0
67,"(36, 48]",972.0700000000008,-27.94,1.0
67,"(48, 60]",619.6500000000003,-12.690000000000001,1.0
67,"(60, 72]",1012.4400000000007,-33.94,1.0
67,"(72, 84]",1450.6700000000017,-51.73,1.0
67,"(84, 96]",,,
68,"(0, 12]",82.32000000000002,-1.29,1.0
68,"(12, 24]",530.4500000000003,-6.83,1.0
68,"(24, 36]",422.72000000000014,-0.8,1.0
68,"(36, 48]",761.7300000000001,-5.2,1.0
68,"(48, 60]",752.4300000000007,-5.3999999999999995,1.0
68,"(60, 72]",863.5100000000003,-9.600000000000001,1.0
68,"(72, 84]",795.7400000000009,-7.11,1.0
68,"(84, 96]",,,
69,"(0, 12]",0.0,0.0,0.0
69,"(12, 24]",221.27000000000007,0.0,0.0
69,"(24, 36]",670.4499999999999,0.0,0.0
69,"(36, 48]",1257.550000000001,0.0,0.0
69,"(48, 60]",801.9200000000008,0.0,0.0
69,"(60, 72]",874.9100000000011,-0.75,1.0
69,"(72, 84]",612.28,0.0,0.0
69,"(84, 96]",,,
70,"(0, 12]",6.97,0.0,0.0
70,"(12, 24]",14.4,0.0,0.0
70,"(24, 36]",2.5,0.0,0.0
70,"(36, 48]",24.990000000000002,0.0,0.0
70,"(48, 60]",13.55,0.0,0.0
70,"(60, 72]",2.0,0.0,0.0
70,"(72, 84]",4.0,0.0,0.0
70,"(84, 96]",,,
71,"(0, 12]",242.07999999999998,-12.0,1.0
71,"(12, 24]",668.1200000000002,-10.5,1.0
71,"(24, 36]",740.8999999999999,-3.0,1.0
71,"(36, 48]",165.61999999999998,0.0,0.0
71,"(48, 60]",623.4100000000003,-11.25,1.0
71,"(60, 72]",249.21000000000004,0.0,0.0
71,"(72, 84]",301.7000000000001,0.0,0.0
71,"(84, 96]",,,
72,"(0, 12]",13.07,0.0,0.0
72,"(12, 24]",855.9399999999998,-9.99,1.0
72,"(24, 36]",815.2400000000016,-2.0,1.0
72,"(36, 48]",799.0400000000001,0.0,0.0
72,"(48, 60]",1055.1700000000012,0.0,0.0
72,"(60, 72]",1219.7100000000012,0.0,0.0
72,"(72, 84]",857.9400000000003,-2.45,1.0
72,"(84, 96]",,,
73,"(0, 12]",10.99,0.0,0.0
73,"(12, 24]",263.84000000000015,-0.55,1.0
73,"(24, 36]",291.6800000000001,0.0,0.0
73,"(36, 48]",529.3300000000003,0.0,0.0
73,"(48, 60]",749.4700000000005,0.0,0.0
73,"(60, 72]",694.9600000000006,0.0,0.0
73,"(72, 84]",208.59000000000006,0.0,0.0
73,"(84, 96]",,,
74,"(0, 12]",201.83999999999995,-1.25,1.0
74,"(12, 24]",330.3500000000001,-7.0,1.0
74,"(24, 36]",326.2400000000001,0.0,0.0
74,"(36, 48]",249.3000000000001,-1.0,1.0
